Name;Vorname;Geburtsjahr;Beruf;Partei_KurzBez;Gewählt_Land;Gewählt_Wahlkreis_Nr;Gewählt_Wahlkreis_Bez;Wiedergewählt
Wagner;Andreas;1972;Heilerziehungspfleger;DIE LINKE;BY;;;
Wagner;Daniela;1957;Stadträtin a. D.;GRÜNE;HE;;;
Walter-Rosenheimer;Beate;1964;MdB / Dipl.-Psychologin;GRÜNE;BY;;;X
Wanderwitz;Marco;1975;MdB / Rechtsanwalt;CDU;SN;163;Chemnitzer Umland – Erzgebirgskreis II;X
Weber;Gabi;1955;MdB / Keramikmalerin;SPD;RP;;;X
Weeser;Sandra;1969;Vizepräsidentin SGD Nord;FDP;RP;;;
Wegner;Kai;1972;MdB / Versicherungskaufmann;CDU;BE;;;X
Weidel;Alice;1979;Beraterin von Start-Up-Unternehmen;AfD;BW;;;
Weiler;Albert Helmut;1965;Dipl.-Verwaltungswirt / Betriebswirt;CDU;TH;195;Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis;X
Weinberg;Harald;1957;MdB / Soziologe;DIE LINKE;BY;;;X
Weinberg;Marcus;1967;MdB;CDU;HH;;;X
Weisgerber;Anja;1976;MdB / Rechtsanwältin;CSU;BY;250;Schweinfurt;X
Weiß;Peter Siegfried;1956;MdB;CDU;BW;283;Emmendingen – Lahr;X
Weiss;Sabine Katharina;1958;Rechtsanwältin;CDU;NW;113;Wesel I;X
Wellenreuther;Ingo;1959;MdB / Vors. Richter am LG a. D.;CDU;BW;271;Karlsruhe-Stadt;X
Wendt;Marian;1985;MdB;CDU;SN;151;Nordsachsen;X
Werner;Katrin;1973;Kauffrau im Einzelhandel;DIE LINKE;RP;;;X
Westig;Nicole;1967;Fundraiserin;FDP;NW;;;
Westphal;Bernd Helmut;1960;MdB;SPD;NI;48;Hildesheim;X
Weyel;Harald;1959;Professor der Betriebswirtschaft;AfD;NW;;;
Whittaker;Kai;1985;MdB / Wirtschaftswissenschaftler (M. Sc.);CDU;BW;273;Rastatt;X
Widmann-Mauz;Annette;1966;MdB / parl. Staatssekretärin;CDU;BW;290;Tübingen;X
Wiehle;Wolfgang;1964;IT-Berater / Dipl.-Informatiker;AfD;BY;;;
Wiese;Dirk;1983;Jurist;SPD;NW;;;X
Wiesmann;Bettina Margarethe;1966;Unternehmensberaterin;CDU;HE;183;Frankfurt am Main II;
Wildberg;Heiko;1952;Dipl.-Geologe;AfD;RP;;;
Willsch;Klaus-Peter;1961;Dipl.-Volkswirt;CDU;HE;178;Rheingau-Taunus – Limburg;X
Winkelmeier-Becker;Elisabeth;1962;Richterin a. D.;CDU;NW;97;Rhein-Sieg-Kreis I;X
Wirth;Christian Friedrich;1963;Rechtsanwalt;AfD;SL;;;
Witt;Uwe;1959;Dipl.-Personalwirt;AfD;NW;;;
Wittke;Oliver;1966;Dipl.-Geograph;CDU;NW;;;X
Yüksel;Gülistan;1962;MdB;SPD;NW;;;X
Zdebel;Hubertus;1954;Journalist;DIE LINKE;NW;;;X
Zeulner;Emmi;1987;MdB;CSU;BY;240;Kulmbach;X
Ziegler;Dagmar;1960;Dipl.-Finanzökonomin;SPD;BB;;;X
Ziemiak;Paul;1985;Angestellter / Student;CDU;NW;;;
Zierke;Stefan;1970;Werkzeugmacher / Touristikfachwirt;SPD;BB;;;X
Zimmer;Matthias Rainer;1961;Hochschullehrer;CDU;HE;182;Frankfurt am Main I;X
Zimmermann;Jens;1981;MdB;SPD;HE;;;X
Zimmermann;Pia-Beate;1956;Mediengestalterin;DIE LINKE;NI;;;X
Zimmermann;Sabine;1960;MdB;DIE LINKE;SN;;;X
