;Namen;name_id;id
57;Jens Koeppen;@JensKoeppen;146376562.0
58;Uwe Wolfgang Werner Feiler;;
59;Hans-Georg Marwitz;;
60;Dietlind Tiemann;@dr_tiemann;4818645382.0
61;Manja Schüle;@ManjaSchuele;827090742162100224
62;Jana Schimke;@JanaSchimke;728990858.0
63;Martin Maria Otto Felix Patzelt;@MPatzeltCDU;1159072277746593792
64;Klaus-Peter Friedrich Walter Schulze;;
65;Michael Stübgen;;
66;Eckhard Gnodtke;@EckhardGnodtke;1.0855996141227622e+18
67;Manfred Behrens;@Manfredbehrens;61577387
68;Heike Brehmer;@HeikeBrehmerMdB;150372237.0
69;Tino Sorge;@TinoSorge;110385973.0
70;Sepp Müller;@mueller_sepp;8.018031277626696e+17
71;Kees Vries;;
72;Christoph Bernstiel;@c_bernstiel;8.300856780630303e+17
73;Dieter Stier;;
74;Torsten Schweiger;@cdu_schweiger;2758602415.0
75;Eva Högl;@EvaHoegl;35846585
76;Stefan Liebich;@berlinliebich;1065899292.0
77;Frank Steffel;@franksteffel;26869088.0
78;Swen Schulz;;
79;Thomas Heilmann;@ThomasHeilmann;56806603
80;Klaus-Dieter Gröhler;@kdgroehler;1.2749713489437327e+18
81;Jan-Marco Luczak;@JM_Luczak;22908417
82;Fritz Felgentreu;@fritzfelgentreu;2805274855.0
83;Canan Bayram;@LieblingXhain;587862375.0
84;Gregor Gysi;@GregorGysi;888289790.0
85;Petra Pau;@PetraPauMaHe;560467206.0
86;Gesine Lötzsch;@LoetzschMdB;24178198.0
87;Rudolf Henke;;
88;Claudia Moll;@ClaudiaMollMdB;1.0703122291390259e+18
89;Wilfried Oellers;@WilfriedOellers;906847944.0
90;Thomas Rachel;@_ThomasRachel;1.0525241727173755e+18
91;Georg Kippels;;
92;Detlef Seif;;
93;Karsten Möring;@KarstenMoering;1099159964.0
94;Heribert Hirte;@HHirte;1513671236.0
95;Rolf Mützenich;;
96;Ulrich Kelber;@UlrichKelber;20877217
97;Elisabeth Winkelmeier-Becker;;
98;Norbert Röttgen;@n_roettgen;1.0401607992081613e+18
99;Carsten Brodesser;;
100;Hermann-Josef Tebroke;;
101;Karl Lauterbach;@Karl_Lauterbach;3292982985.0
102;Helge Lindh;@helgelindh;454981027.0
103;Jürgen Hardt;@juergenhardt;38467606
104;Michaela Noll;;
105;Peter Beyer;@Peter_Beyer;445375409
106;Thomas Jarzombek;@tj_tweets;37105136.0
107;Sylvia Pantel;@SylviaPantel;1082464339
108;Hermann Gröhe;@groehe;94363834.0
109;Günter Krings;@guenterkrings;392312829.0
110;Ansgar Heveling;;
111;Uwe Schummer;@UweSchummer;409203792.0
112;Stefan Rouenhoff;@StefanRouenhoff;963904327.0
113;Sabine Katharina Weiss;;
114;Kerstin Radomski;;
115;Bärbel Bas;@baerbelbas;19438957.0
116;Mahmut Özdemir;@oezdemir_spd;1399764944.0
117;Dirk Vöpel;@VoepelDirk;8.29029719941247e+17
118;Arno Klare;@arnoklare;1028440310.0
119;Dirk Heidenblut;@DHeidenblut;1.0833712897866342e+18
120;Matthias Hauer;@MatthiasHauer;1158585210
121;Frank Schwabe;@FrankSchwabe;30050484
122;Michael Peter Groß;@michaelgrossmdb;2814949590
123;Markus Töns;@Toens_NRW04;3522875063.0
124;Jens Spahn;@jensspahn;299650387.0
125;Michael Gerdes;@GerdesMdB;2468956470.0
126;Johannes August Röring;;
127;Marc Henrichmann;@MarcHenrichmann;44608858.0
128;Anja Karliczek;@AnjaKarliczek;2521976694.0
129;Sybille Benning;@SybilleBenning;8.692057496328315e+17
130;Reinhold Sendker;;
131;Ralph Brinkhaus;@rbrinkhaus;38001527.0
132;Wiebke Esdar;;
133;Stefan Schwartze;@s_schwartze;1117526742.0
134;Achim Post;@Achim_P;1117749912.0
135;Kerstin Vieregge;;
136;Christian Haase;;
137;Carsten Linnemann;;
138;René Röspel;;
139;Ralf Kapschack;;
140;Axel Schäfer;;
141;Michelle Müntefering;@Mi_Muentefering;9.477402100366418e+17
142;Marco Bülow;@marcobuelow;52119203
143;Sabine Poschmann;@SabinePoschmann;7.386365687605535e+17
144;Oliver Kaczmarek;@KaczmarekOliver;231440493.0
